Age,Sex,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Impulsivness,Sensation Seeing,Alcohol,Amphetamines,Amyl Nitrite,Benzodiazepine,Caffeine,Canabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methadone,Mushrooms,Nicotine,Semer,VSA
55+,Male,Masters degree,Canada,White,Low,High,Average,Average,High,Average,Low,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
55+,Female,Left school before 18 years,UK,Mixed-White/Black,High,Average,Low,High,Low,Average,Average,Used in Last Year,Never Used,Never Used,Used in Last Week,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Low,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,Left school at 18 years,UK,White,Average,Average,Low,Average,Average,Average,High,Used in Last Year,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Male,"Some college or university, no certificate or degree",UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
55+,Male,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,"Some college or university, no certificate or degree",UK,White,Average,Low,Low,Average,Average,Low,Low,Used in Last Year,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
35-44,Female,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago
35-44,Female,Masters degree,UK,White,High,Average,Average,Average,Average,Low,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,Canada,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
25-34,Male,Left school at 18 years,UK,White,Low,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
55+,Female,Left school before 18 years,UK,White,Average,Average,Average,Average,Average,Low,Low,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Low,Low,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Male,Masters degree,UK,White,Average,Average,High,Low,High,Average,Average,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
35-44,Female,University degree,Canada,White,Average,Low,Average,Average,Average,Low,Low,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Year,Never Used,Never Used
45-54,Female,Masters degree,UK,White,Average,Average,Average,Average,Low,Average,Average,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Male,Doctorate degree,Canada,White,Low,Average,Average,Average,Average,Average,High,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,High,Average,Average,High,Average,Average,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used
25-34,Male,Masters degree,Other,White,Low,High,Average,Low,Average,Average,High,Used in Last Day,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Never Used
45-54,Female,Left school before 18 years,Australia,White,Average,Average,Low,Average,Average,Low,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Male,Left school at 18 years,UK,White,Average,High,High,Low,Average,Average,High,Used in Last Day,Used over a Decade Ago,Used in Last Year,Used in Last Month,Used in Last Day,Used over a Decade Ago,Used in Last Month,Used in Last Month,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,Canada,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",Canada,White,Average,Average,Average,High,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,UK,White,Low,Average,Low,Average,High,Low,Low,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Female,"Some college or university, no certificate or degree",UK,White,High,Average,Low,Average,Average,Low,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Female,Left school before 18 years,UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Female,University degree,UK,White,Average,High,Average,Average,Average,High,High,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
45-54,Female,"Some college or university, no certificate or degree",UK,White,Average,Average,Low,Average,Average,Average,Average,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
45-54,Male,Masters degree,UK,Asian,Average,Average,Average,Average,Average,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
25-34,Male,Masters degree,UK,White,Average,Low,Average,Average,Average,Average,Average,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
25-34,Female,University degree,UK,White,Low,Average,Average,Low,Average,Average,Average,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Female,Professional certificate/ diploma,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Month,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Male,"Some college or university, no certificate or degree",UK,White,Low,High,High,Average,Low,High,High,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
25-34,Female,Professional certificate/ diploma,Canada,White,Average,Average,Average,Average,High,Low,Low,Used in Last Week,Used over a Decade Ago,Used in Last Decade,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
35-44,Male,Professional certificate/ diploma,Canada,White,Average,Average,Average,Low,Average,Average,Average,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Female,University degree,UK,White,High,Average,High,Average,Low,Average,Average,Used in Last Week,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
35-44,Female,"Some college or university, no certificate or degree",USA,White,High,Low,Low,High,Average,Average,Low,Used in Last Week,Never Used,Never Used,Used in Last Day,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Never Used,Never Used
35-44,Female,University degree,UK,White,Average,Average,Average,Average,High,Average,Average,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Female,Masters degree,UK,White,Low,Average,Average,Low,Average,Average,High,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Decade,Never Used,Never Used
35-44,Female,Professional certificate/ diploma,UK,White,High,Low,Low,Low,Average,Average,Average,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
55+,Male,Masters degree,UK,White,Average,Average,Average,Average,Average,Average,Average,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
